task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-04-03T15:35:12,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,2.350904144346714,1.199576219864313e-06,5.102345407722103e-07,360.0,96.53649038136535,10.0,0.00023509281612932683,6.30425504368759e-05,6.530128864364491e-06,0.0003046654954305672,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #3,2026-04-03T15:35:15,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.5885688066482544,9.095614025173475e-07,5.725715280300677e-07,360.0,153.63829277414388,10.0,0.00015881703980267044,6.777977644389921e-05,4.411410436862045e-06,0.00023100822668343168,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #5,2026-04-03T15:35:17,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.5496217086911201,8.739029735598679e-07,5.639889953696205e-07,360.0,145.93236049352174,10.0,0.00015486998409032819,6.278005022863908e-05,4.301749976972738e-06,0.00022195178429594,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #7,2026-04-03T15:35:20,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.5723816230893135,8.767834823014228e-07,5.576387631170135e-07,360.0,139.99593553396184,10.0,0.0001571890827268362,6.112810444847128e-05,4.366181832220818e-06,0.00022268336900752841,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #9,2026-04-03T15:35:23,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.549492321908474,8.570379887171741e-07,5.531233319551635e-07,360.0,135.86291151069233,10.0,0.00015490456186234949,5.8461157891542825e-05,4.302736082010801e-06,0.00021766845583590317,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #11,2026-04-03T15:35:26,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.6149810552597046,8.854773464907108e-07,5.482866070475729e-07,360.0,131.42960292874164,10.0,0.00016145987063646318,5.8946713821228514e-05,4.484831355512142e-06,0.00022489141581320381,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #13,2026-04-03T15:35:29,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.5919890590012074,8.907553876941453e-07,5.595062371150728e-07,360.0,141.64603380931615,10.0,0.00015917900800704963,6.263143899332135e-05,4.421473077187935e-06,0.00022623192007755898,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #15,2026-04-03T15:35:31,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.6447384916245937,9.125007950502059e-07,5.54801413548077e-07,360.0,137.34134052462488,10.0,0.00016444853320717804,6.273838351944505e-05,4.567849832690424e-06,0.00023175476655931345,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #17,2026-04-03T15:35:34,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.5846679098904133,8.671107306323443e-07,5.471923777476073e-07,360.0,130.5667284913244,10.0,0.0001583834003657102,5.744393484974353e-05,4.399371488640708e-06,0.00022022670670409457,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #19,2026-04-03T15:35:37,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.5542196184396744,8.592152795298744e-07,5.52823232883329e-07,360.0,136.12137771812093,10.0,0.0001552188072353601,5.8691158059787085e-05,4.311473646925554e-06,0.00021822143894207257,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #21,2026-04-03T15:35:40,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.5519612468779087,8.429671990200759e-07,5.432919530748218e-07,360.0,126.86534660526256,10.0,0.00015512045025825507,5.466559929345749e-05,4.308740815354719e-06,0.0002140947903670671,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #23,2026-04-03T15:35:42,energy-efficiency,97482d87-9666-421d-81de-5b1451af2d05,1.648256827145815,8.967241700229771e-07,5.44066592441818e-07,360.0,128.22497748819166,10.0,0.00016456236243247969,5.8614491322828144e-05,4.571003363364275e-06,0.0002277478571186724,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
