task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-04-03T17:32:38,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.4904800839722157,2.120070489086046e-06,6.073597016030387e-07,360.0,185.3507019344513,10.0,0.00034904373101890085,0.0001797112549013491,9.695439495974117e-06,0.0005384504254162241,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #3,2026-04-03T17:32:41,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.282457698136568,1.997277751587502e-06,6.085150773377671e-07,360.0,186.43335156171943,10.0,0.0003281876415014267,0.0001699601359632652,9.116042560587327e-06,0.0005072638200252791,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #5,2026-04-03T17:32:44,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.2684770487248898,1.966889561855425e-06,6.018711940746538e-07,360.0,180.3420717494234,10.0,0.00032677174210548395,0.00016369735318733092,9.076805081632402e-06,0.0004995459003744474,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #7,2026-04-03T17:32:48,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.2539591193199158,2.0786693439204965e-06,6.388370903281607e-07,360.0,214.1450930979006,10.0,0.0003253582883626222,0.00019353959926604603,9.037574090891411e-06,0.0005279354617195599,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #9,2026-04-03T17:32:51,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.2772830612957478,2.073797491184178e-06,6.32817656282e-07,360.0,208.8242922639308,10.0,0.00032757952883839597,0.00019001931867990152,9.099272710995539e-06,0.000526698120229293,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #11,2026-04-03T17:32:54,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.2796830385923386,2.0488375723288962e-06,6.247950719315981e-07,360.0,201.24280469864087,10.0,0.0003279321473091839,0.00018331764665902028,9.109065847264392e-06,0.0005203588598154687,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #13,2026-04-03T17:32:57,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.2838928662240505,2.008276475453832e-06,6.11604498267999e-07,360.0,189.17498673630325,10.0,0.00032837716490030297,0.0001725587491563374,9.121335515131556e-06,0.0005100572495717721,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #15,2026-04-03T17:33:01,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.2836540155112743,2.0049945697185605e-06,6.106737466285278e-07,360.0,188.39631747301237,10.0,0.0003282977480441331,0.0001718068040901244,9.119166878776414e-06,0.0005092237190130341,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #17,2026-04-03T17:33:04,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.2877464555203915,1.976984466768027e-06,6.014043409257554e-07,360.0,179.85236646938955,10.0,0.0003287414360791446,0.00016423679807076041,9.131545997742154e-06,0.0005021097801476476,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #19,2026-04-03T17:33:07,energy-efficiency,da373b8d-dacb-4cc6-82c1-e0ce14712c3b,3.2874382063746452,2.0744974980211905e-06,6.310488124105416e-07,360.0,207.0150122219026,10.0,0.0003287176497280596,0.00018902737343751141,9.130883123725653e-06,0.0005268759062892966,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
