task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-04-03T16:05:28,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,8.220351684838533,4.2306621424288935e-06,5.146527581913483e-07,360.0,100.59034694547402,10.0,0.0008219831716269254,0.00022967768373405306,2.2832583470477e-05,0.0010744934388314555,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #3,2026-04-03T16:05:39,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,6.283512428402901,3.3102398270723347e-06,5.26829321083042e-07,360.0,111.71983760835678,10.0,0.000628293464332819,0.00019498098932047014,1.7452329862862822e-05,0.0008407267835161519,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #5,2026-04-03T16:05:50,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,6.330827724188566,3.3932456396258286e-06,5.359885330207194e-07,360.0,120.24971102060977,10.0,0.0006328424938023092,0.00021138711356627482,1.7578793627520404e-05,0.0008618084009961043,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #7,2026-04-03T16:06:01,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,6.177202269434929,3.2319743692801217e-06,5.232140040682919e-07,360.0,108.61353653755694,10.0,0.000617419945448637,0.0001862787601396576,1.7150404397398228e-05,0.0008208491099856931,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #9,2026-04-03T16:06:12,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,6.266526725143194,3.517774226497438e-06,5.614518179348852e-07,360.0,143.39964312511282,10.0,0.0006264840692281723,0.00024954964409573677,1.740215992968944e-05,0.000893435873253598,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #11,2026-04-03T16:06:23,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,6.297863509505987,3.480354753482816e-06,5.526831868668307e-07,360.0,135.3918002374041,10.0,0.0006296409815549847,0.00023680130054515303,1.748988301389747e-05,0.0008839321651140349,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #13,2026-04-03T16:06:33,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,6.2701300866901875,3.3956727501560057e-06,5.415817666963242e-07,360.0,125.42268317583591,10.0,0.000626682564988732,0.00021833461912024177,1.7407648606846744e-05,0.0008624248327158204,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #15,2026-04-03T16:06:44,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,6.194784678518772,3.4524759540614076e-06,5.573502415154576e-07,360.0,139.61611591353142,10.0,0.0006194198738783598,0.000240225747745626,1.7205952780528202e-05,0.0008768515744045141,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #17,2026-04-03T16:06:55,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,6.265550162643194,3.4088586717012325e-06,5.440820233284266e-07,360.0,127.8166710678478,10.0,0.0006260906659066676,0.0002222918444942934,1.7391251089672258e-05,0.0008657737614906329,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #19,2026-04-03T16:07:06,energy-efficiency,c614ac68-443d-48ef-94de-fbd1d6113c05,6.214772362262011,3.381674103456046e-06,5.441992950681604e-07,360.0,127.59791076201732,10.0,0.0006213708322495223,0.00022023850951313761,1.726014818996191e-05,0.0008588694899526218,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
