task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-04-03T16:53:14,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,1.111791454255581,6.448722202788901e-07,5.797249029818839e-07,360.0,160.19408679326813,10.0,0.00011120753772556782,4.9486706259926905e-05,3.0888581027587256e-06,0.00016378310208825346,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #3,2026-04-03T16:53:15,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,0.834991343319416,5.21962328732305e-07,6.255227940672495e-07,360.0,203.8036475366996,10.0,8.317058198153973e-05,4.70861487684715e-05,2.310011442750693e-06,0.00013256674219276192,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #5,2026-04-03T16:53:16,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,0.8317910917103291,5.050301339397716e-07,6.073399745713723e-07,360.0,185.4442412840706,10.0,8.313279114663603e-05,4.2824478697411905e-05,2.309074066579343e-06,0.00012826634391062728,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #7,2026-04-03T16:53:17,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,0.8319318853318691,5.002191518891146e-07,6.014500942082671e-07,360.0,179.81530739323932,10.0,8.318391926586625e-05,4.155003324513018e-05,2.310509700328112e-06,0.00012704446221132454,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #9,2026-04-03T16:53:18,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,0.836342066526413,5.042734054995127e-07,6.031935830008836e-07,360.0,183.28626525857413,10.0,8.333201110363004e-05,4.242753395544696e-05,2.3146067745983602e-06,0.00012807415183367535,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #11,2026-04-03T16:53:19,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,0.8361368700861931,4.973539389097465e-07,5.949845451434745e-07,360.0,174.33412142523085,10.0,8.354021795094018e-05,4.045614346637194e-05,2.3204008634719584e-06,0.00012631676228078408,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #13,2026-04-03T16:53:19,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,0.8368481509387493,5.108544601207035e-07,6.106059939801505e-07,360.0,188.6278293067066,10.0,8.361232206225398e-05,4.381086839089221e-05,2.3224018721116915e-06,0.00012974559232525786,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #15,2026-04-03T16:53:20,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,0.828313983976841,5.142187999729742e-07,6.209608844067733e-07,360.0,198.3468614220054,10.0,8.2723705470562e-05,4.557864757259722e-05,2.2977062604493564e-06,0.0001306000593036086,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #17,2026-04-03T16:53:21,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,0.8278582133352757,5.382600769847216e-07,6.503607642032634e-07,360.0,225.08094115783476,10.0,8.270110040903094e-05,5.170781915353473e-05,2.297085699521832e-06,0.00013670600526208732,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #19,2026-04-03T16:53:22,energy-efficiency,c5345b79-cdf5-4a6f-afcb-c720e191bf30,0.8273192755877972,5.141613111012569e-07,6.217617616339685e-07,360.0,198.56981863617077,10.0,8.268178738653654e-05,4.560725869851012e-05,2.296412332604329e-06,0.00013058545841765118,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
