iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,6882280895,1121785844,100,100.7,23910481920
2,13484576655,1107517958,100,99.3,23941939200
3,19888027465,1103531964,100,100.6,23941939200
4,26246352175,1107787982,100,100.2,23941939200
5,32582098755,1106627286,100,99.4,23941939200
6,38941743392,1110956375,100,99.9,23941939200
7,45229951099,1108842406,100,100.1,23941939200
8,51577828586,1108997728,100,100.1,23941939200
9,57972701798,1109897040,100,100.0,23941939200
10,64291512725,1111977240,100,100.7,23941939200
11,70609892087,1109641117,100,100.0,23941939200
12,76972354463,1106495674,100,99.4,23941939200
13,83233234345,1104289463,100,99.6,23941939200
14,89567191801,1106047658,100,100.3,23941939200
15,95885723374,1107458297,100,100.2,23941939200
16,102201012173,1109915891,100,100.0,23941939200
17,108604984180,1105560461,100,100.4,23941939200
18,114959316224,1106318512,100,100.3,23941939200
19,121315240552,1107719732,100,100.2,23941939200
20,127679623235,1105403049,100,100.4,23941939200
21,134091514140,1107213223,100,100.2,23941939200
22,140430007937,1105999627,100,100.3,23941939200
23,146893160087,1105337058,100,100.4,23941939200
24,153186136669,1105875436,100,100.3,23941939200
25,159494998750,1103615754,100,99.6,23941939200
26,165852707011,1105514440,100,99.5,23941939200
27,172160647000,1106274081,100,100.3,23941939200
28,178437865606,1106231670,100,100.3,23941939200
29,184841734731,1104714380,100,100.4,23941939200
30,191138141931,1105065345,100,100.4,23941939200
31,197414354803,1103690836,100,99.6,23941939200
32,203731704921,1101707838,100,100.7,23941939200
33,210002216565,1106520894,100,100.3,23941939200
34,216385529007,1104285003,100,100.5,23941939200
35,222760031369,1108090265,100,100.1,23941939200
36,229085895844,1106009947,100,100.3,23941939200
37,235419909890,1112072680,100,99.8,23941939200
38,241719058737,1107877893,100,101.1,23941939200
39,248041031488,1106628396,100,100.3,23941939200
40,254450888166,1108608443,100,100.1,23941939200
41,260735467013,1117362303,100,100.2,23941939200
42,266992779726,1113574580,100,100.6,23941939200
43,273311116786,1109066689,100,100.1,23941939200
44,279567623978,1108090476,100,99.2,23941939200
45,285800021959,1111116538,100,99.9,23941939200
46,292142213197,1104795580,100,99.5,23941939200
47,297620099398,981366976,100,98.8,23941939200
