iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,1828716249,1119126385,100,100.1,23910481920
2,3520080181,1106923311,100,100.2,23941939200
3,5163685572,1106661977,100,100.3,23941939200
4,6821345632,1111331391,100,99.9,23941939200
5,8481935621,1112126471,100,99.8,23941939200
6,10128938117,1110246015,100,99.0,23941939200
7,11784196715,1113925205,100,99.6,23941939200
8,13440967993,1115270054,100,99.5,23941939200
9,15102138170,1116610531,100,99.4,23941939200
10,16762304093,1108573913,100,100.1,23941939200
11,18420591691,1112462825,100,99.7,23941939200
12,20074634873,1115667658,100,99.5,23941939200
13,21726669887,1113088444,100,99.7,23941939200
14,23381804863,1114342921,100,99.6,23941939200
15,25042992400,1119016964,100,100.1,23941939200
16,26703185234,1116111395,100,99.4,23941939200
17,28372507510,1119816974,100,100.0,23941939200
18,30047454023,1118861922,100,101.0,23941939200
19,31719525986,1121462056,100,99.8,23941939200
20,33383668813,1119747772,100,100.0,23941939200
21,35045972625,1120662606,100,99.9,23941939200
22,36709604245,1122441560,100,99.7,23941939200
23,38380764776,1124947172,100,99.5,23941939200
24,40052717238,1124275544,100,100.5,23941939200
25,41731423530,1124204533,100,99.6,23941939200
26,43408998338,1126614176,100,100.3,23941939200
27,45091610613,1126605766,100,100.3,23941939200
28,46769142809,1125823684,100,100.3,23941939200
29,48444482707,1128768145,100,100.1,23941939200
30,50114856007,1127362676,100,99.3,23941939200
31,51786149891,1124875062,100,100.4,23941939200
32,53463239221,1130298115,100,99.9,23941939200
33,55146094879,1129219130,100,100.0,23941939200
34,56825979868,1127168123,100,100.2,23941939200
35,58507557019,1128276937,100,100.1,23941939200
36,60195645448,1129555395,100,100.0,23941939200
37,61880953629,1131213518,100,99.9,23941939200
38,63564236833,1129170979,100,100.0,23941939200
39,65256009791,1130616310,100,99.9,23941939200
40,66943153077,1131786215,100,100.7,23941939200
41,68620947757,1130220894,100,100.0,23941939200
42,70300861876,1132019748,100,99.8,23941939200
43,71981214130,1132351003,100,99.8,23941939200
44,73664406333,1128693543,100,100.1,23941939200
45,75344989651,1127157333,100,100.2,23941939200
46,77026709064,1129926269,100,100.0,23941939200
47,78712219088,1131406479,100,100.7,23941939200
48,80398804907,1132571065,100,99.7,23941939200
49,82082780190,1129111729,100,100.1,23941939200
50,83761582874,1127212874,100,100.2,23941939200
51,85448145872,1132302652,100,100.7,23941939200
52,87139794099,1131174557,100,100.8,23941939200
