iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,2874412912,397346476,100,104.1,11845566464
2,6257467514,247296094,6,101.1,12491489280
3,9449128140,247446616,9,101.0,12491489280
4,12569223436,247709040,49,104.9,12491489280
5,15906915003,248635212,80,100.5,12491489280
6,19131361202,247907313,67,104.9,12491489280
7,22331675480,251325126,68,107.4,12491489280
8,25553385325,250493475,56,103.8,12491489280
9,28728895934,248024004,67,100.8,12491489280
10,31924551392,250175181,69,107.9,12491489280
11,35110026869,253513995,78,106.5,12491489280
12,38316301194,250210492,73,103.9,12491489280
13,41578344738,249507213,41,100.2,12491489280
14,44832349357,249727275,13,100.1,12491489280
15,48051900383,249924097,100,100.0,12491489280
16,51343820451,249193528,56,104.3,12491489280
17,54648438962,249921328,4,100.0,12491489280
18,57807774163,251307415,24,103.4,12491489280
19,61002161255,252919316,26,98.8,12491489280
20,64246852055,250928791,4,103.6,12491489280
21,67465314277,251032583,94,103.6,12491489280
22,70633994308,250888200,9,103.6,12491489280
23,73785453247,252591053,34,102.9,12491489280
24,76949241275,247307775,49,101.1,12491489280
25,80121673124,248577291,63,100.5,12491489280
26,83330635704,248370818,58,104.7,12491489280
27,86509367715,248060844,68,104.8,12491489280
28,89674502290,250022879,85,104.0,12491489280
29,92821908797,247452966,10,101.0,12491489280
30,95974596532,247730090,33,100.9,12491489280
31,99185689209,249885608,28,108.0,12491489280
32,102381143105,249076398,30,108.4,12491489280
33,105576380608,248604941,31,104.6,12491489280
34,108731409923,248833055,53,104.5,12491489280
35,111891649196,248652982,73,104.5,12491489280
36,115035465726,248666592,1,104.5,12491489280
37,118254162131,249680505,0,104.1,12491489280
38,121491950002,248781303,71,100.5,12491489280
39,124678985650,251396177,78,103.4,12491489280
40,127830708892,249002796,100,104.4,12491489280
41,130965454977,250707789,33,99.7,12491489280
42,134205396635,248225257,100,104.7,12491489280
43,137359802972,249405722,35,100.2,12491489280
44,140545970878,248532340,41,104.6,12491489280
45,143718543910,249201238,55,104.3,12491489280
46,146869205059,249614514,78,100.1,12491489280
47,150150425169,250215413,38,103.9,12491489280
48,153397936875,248566810,13,104.6,12491489280
49,156555276230,249313510,34,104.3,12491489280
50,159706874061,249427712,58,104.2,12491489280
51,162858856617,249632455,82,104.1,12491489280
52,166066758453,248727473,77,104.5,12491489280
53,169212790512,249621124,4,108.1,12491489280
54,172379330786,249664185,20,100.1,12491489280
55,175533142475,250703328,42,103.7,12491489280
56,178715269019,249443642,51,104.2,12491489280
57,181947309266,249289529,34,104.3,12491489280
58,185163849363,249066547,25,100.4,12491489280
59,188337541389,249496362,38,104.2,12491489280
60,191503018779,249194039,55,100.3,12491489280
61,194627007924,250141731,0,107.9,12491489280
62,197835353796,248323078,87,104.7,12491489280
63,201058437298,250451834,76,103.8,12491489280
64,204259965951,249740495,75,100.1,12491489280
65,207585763916,250312093,12,99.9,12491489280
66,210794955029,249766666,6,100.1,12491489280
67,214003797387,249982199,1,100.0,12491489280
68,217240466043,249885867,82,108.0,12491489280
69,220391620378,249612484,6,104.1,12491489280
70,223573848404,250069839,15,108.0,12491489280
71,226720197538,249783746,41,104.1,12491489280
72,229857376923,250328483,72,103.8,12491489280
73,233091165292,249721666,55,104.1,12491489280
74,236235683752,250279142,0,103.9,12491489280
75,239448032085,250363574,75,103.8,12491489280
76,242629909006,250305873,84,103.9,12491489280
77,245781617638,249394610,100,104.2,12491489280
78,248973303105,250277923,100,103.9,12491489280
79,252193449899,249189278,100,104.3,12491489280
80,255349954173,249686435,22,104.1,12491489280
81,258475894664,249251040,58,100.3,12491489280
82,261635363296,249582134,78,100.1,12491489280
83,264790349831,249528833,100,100.2,12491489280
84,268012256027,249879927,89,104.0,12491489280
85,271207070925,250097521,91,103.9,12491489280
86,274350292418,249782537,19,100.1,12491489280
87,277509544478,249632274,38,104.1,12491489280
88,280655883181,251681611,65,107.3,12491489280
89,284004371208,248573271,89,104.6,12491489280
90,287218133439,250290432,83,103.9,12491489280
91,290392853187,249685665,95,104.1,12491489280
92,293593712503,249927069,94,100.0,12491489280
93,296919525677,250001239,31,104.0,12491489280
94,299466164069,187578205,25,106.6,12491489280
