iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,6686729334,1803775095,100,101.0,23941939200
2,13241775469,1613915225,100,100.4,23941939200
3,19553753036,1615887881,100,101.5,23941939200
4,25779192448,1609113214,100,100.7,23941939200
5,32095608194,1617173858,100,100.8,23941939200
6,38350525436,1616208925,100,100.2,23941939200
7,44571643851,1616004863,100,100.2,23941939200
8,50851054350,1612984314,100,101.1,23941939200
9,57087958088,1617887586,100,100.7,23941939200
10,63309721793,1610891836,100,99.9,23941939200
11,69605575323,1613277728,100,100.4,23941939200
12,75841757993,1619752391,100,100.6,23941939200
13,82088635881,1612366796,100,100.5,23941939200
14,88300791631,1618797468,100,100.7,23941939200
15,94516749761,1609260255,100,100.7,23941939200
16,100794929532,1618135070,100,100.7,23941939200
17,107035309227,1609241925,100,100.7,23941939200
18,113273129848,1612924193,100,100.4,23941939200
19,119592329179,1611123960,100,100.5,23941939200
20,125799096740,1613857205,100,100.4,23941939200
21,132051944325,1614052277,100,101.6,23941939200
22,138249177322,1611902360,100,100.5,23941939200
23,144485257801,1613868115,100,100.4,23941939200
24,150754823172,1619085593,100,100.1,23941939200
25,156979311621,1617954488,100,100.7,23941939200
26,163236776096,1618183330,100,100.1,23941939200
27,169457152493,1607284080,100,101.4,23941939200
28,175668975078,1613262697,100,100.4,23941939200
29,181927955672,1611894540,100,100.5,23941939200
30,188183447572,1616425458,100,100.2,23941939200
31,194401811642,1611873780,100,100.5,23941939200
32,200663054596,1605764320,100,100.3,23941939200
33,206896879975,1614619595,100,101.0,23941939200
34,213076271103,1608270453,100,100.1,23941939200
35,219342056824,1610150087,100,100.6,23941939200
36,225535683435,1610331509,100,101.2,23941939200
37,231804753680,1608260633,100,100.1,23941939200
38,238028246266,1613047964,100,99.8,23941939200
39,244246810729,1609794762,100,100.6,23941939200
40,250504833551,1612146023,100,99.9,23941939200
41,256704514291,1609548069,100,100.6,23941939200
42,262926227593,1609994134,100,100.0,23941939200
43,269204378045,1619052412,100,100.7,23941939200
44,275417349406,1616510670,100,100.8,23941939200
45,281667290964,1614655035,100,100.9,23941939200
46,287859452896,1612428697,100,99.8,23941939200
47,293285672744,1418173000,100,100.1,23941939200
