iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,1064575358,1041807709,99,101.2,12491489280
2,1893884295,808247671,100,101.4,12491489280
3,2732140100,809096011,100,102.6,12491489280
4,3570124151,812291954,100,102.2,12491489280
5,4409917845,809053641,100,103.8,12491489280
6,5248065428,812591927,100,102.1,12491489280
7,6082592454,812929932,100,103.3,12491489280
8,6920744817,816372267,100,102.9,12491489280
9,7755529746,813407588,100,103.3,12491489280
10,8594134315,816599750,100,104.1,12491489280
11,9433860209,818195151,100,102.7,12491489280
12,10276281418,818347603,100,102.6,12491489280
13,11115671347,817815766,100,102.7,12491489280
14,11963178714,816762112,100,102.8,12491489280
15,12809345532,818436764,100,102.6,12491489280
16,13654467197,815947421,100,102.9,12491489280
17,14499435730,817381760,100,102.8,12491489280
18,15332530436,811303811,100,102.3,12491489280
19,16164730141,810362198,100,103.7,12491489280
20,16997275800,810859274,100,102.4,12491489280
21,17829061330,810112965,100,102.4,12491489280
22,18664848202,812832731,100,103.3,12491489280
23,19499721112,811965859,100,103.4,12491489280
24,20334842376,811756216,100,103.5,12491489280
25,21173268362,812096811,100,102.2,12491489280
26,22010184069,810957986,100,103.6,12491489280
27,22854411862,812702669,100,103.4,12491489280
28,23700390578,814391721,100,104.4,12491489280
29,24604858973,816280116,100,102.9,12491489280
30,25435081681,813722602,100,100.8,12491489280
31,26269533646,817114737,100,102.8,12491489280
32,27104277065,816889483,100,104.0,12491489280
33,27938422975,816335466,100,101.7,12491489280
34,28776432616,816384787,100,102.9,12491489280
35,29615824996,817807006,100,102.7,12491489280
36,30453788236,816054563,100,104.2,12491489280
37,31292774121,817556693,100,101.5,12491489280
38,32133124572,818644157,100,102.6,12491489280
39,32973183221,818373013,100,102.6,12491489280
40,33817756528,819651630,100,102.5,12491489280
41,34661240931,821842009,100,103.4,12491489280
42,35502435885,819360716,100,102.5,12491489280
43,36351330079,822035591,100,103.4,12491489280
44,37200168633,819712801,100,103.7,12491489280
45,38051383997,822158513,100,102.2,12491489280
46,38901148883,823745935,100,103.2,12491489280
47,39746224927,823357609,100,102.0,12491489280
48,40592054881,824215740,100,103.1,12491489280
49,41435902539,822276085,100,103.4,12491489280
50,42281619382,823823005,100,102.0,12491489280
51,43127324184,823868506,100,103.2,12491489280
52,43972748593,823649073,100,102.0,12491489280
53,44817378761,823145276,100,103.3,12491489280
54,45662860290,823785144,100,102.0,12491489280
55,46509575836,824982249,100,104.2,12491489280
56,47355744275,824290611,100,101.9,12491489280
57,48201544719,824217710,100,101.9,12491489280
58,49051819171,828505457,100,102.6,12491489280
59,49898942282,825166743,100,101.8,12491489280
60,50749439407,826877175,100,102.8,12491489280
61,51684262091,827407152,100,101.5,12491489280
62,52525862279,826732134,100,101.6,12491489280
63,53367499138,827403082,100,101.5,12491489280
64,54215873025,828720280,100,101.4,12491489280
65,55066394031,827973240,100,102.7,12491489280
66,55916591273,826969706,100,100.4,12491489280
67,56765087781,828335234,100,102.6,12491489280
68,57614527483,827582514,100,103.9,12491489280
69,58465356123,829268726,100,103.7,12491489280
70,59315743226,828543297,100,102.6,12491489280
71,60167129734,829809953,100,102.4,12491489280
72,61102402623,827659415,100,101.5,12491489280
73,61947915023,830880247,100,102.3,12491489280
74,62792751384,830181998,100,101.2,12491489280
75,63641160332,830990919,100,101.1,12491489280
76,64491625657,832746672,100,102.1,12491489280
77,65338244341,829238316,100,101.3,12491489280
78,66192769269,832593270,100,102.1,12491489280
79,67046848772,832108404,100,102.1,12491489280
80,67899392974,830834126,100,103.5,12491489280
81,68753193683,832300766,100,103.3,12491489280
82,69608094386,833034307,100,103.2,12491489280
83,70460726949,831000190,100,102.3,12491489280
