task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Forward pass #1,2026-04-17T14:32:14,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.2891713045537472,1.4108615037298554e-07,4.881702667498869e-07,360.0,72.70571402565936,10.0,2.9138244688510892e-05,5.885282462259056e-06,8.091954307423698e-07,3.5832722581512317e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #1,2026-04-17T14:32:15,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.3220236487686634,2.1360829061296252e-07,6.640564605582012e-07,360.0,237.93169035876028,10.0,3.2125592231750485e-05,2.1233905897588556e-05,8.922239455084006e-07,5.4251722074847444e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #1,2026-04-17T14:32:15,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.048586878925561905,1.8104827250402074e-08,3.7478094752640786e-07,360.0,0.0,10.0,4.474062845110895e-06,0.0,1.241578203108576e-07,4.598220665421752e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #2,2026-04-17T14:32:16,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.12761590257287025,6.151180677499741e-08,4.831085266874477e-07,360.0,67.73444967526359,10.0,1.2848221510648728e-05,2.4177797115498834e-06,3.5662014658252417e-07,1.562262136878113e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #2,2026-04-17T14:32:16,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.28329263627529144,1.8002684374337532e-07,6.362130078232078e-07,360.0,210.36694695638016,10.0,2.8361217305064197e-05,1.657390214404586e-05,7.876671747201019e-07,4.572278662383017e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #2,2026-04-17T14:32:16,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.003348149359226227,1.2958629455756117e-09,3.8875577867157116e-07,360.0,0.0,10.0,3.20277735590938e-07,0.0,8.842431836658166e-09,3.2912016742757963e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #3,2026-04-17T14:32:18,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.12583620846271515,6.45418527267644e-08,5.131227307785156e-07,360.0,91.9946347970097,10.0,1.2773098424077029e-05,3.264447059336817e-06,3.546396994756328e-07,1.6392185182889505e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #3,2026-04-17T14:32:18,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.2843970023095608,1.7936274299102652e-07,6.321492272462189e-07,360.0,208.58030588110887,10.0,2.8343864902853977e-05,1.6423068700532895e-05,7.871863018307424e-07,4.5554119905217595e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #3,2026-04-17T14:32:18,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.005382142961025238,1.226892590840441e-09,2.2999412837075665e-07,360.0,0.0,10.0,3.0323266983031563e-07,0.0,8.370572080215051e-09,3.116032419105434e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #4,2026-04-17T14:32:19,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.12840795144438744,7.921012775097498e-08,6.185798415455131e-07,360.0,190.08614662248414,10.0,1.2930270284414289e-05,6.82833879750433e-06,3.5898946225643115e-07,2.011759854417505e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #4,2026-04-17T14:32:20,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.2884138748049736,1.767979298162029e-07,6.137611810492116e-07,360.0,200.30696423632182,10.0,2.834386080503463e-05,1.577167930122414e-05,7.871746913426456e-07,4.490271479760144e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #4,2026-04-17T14:32:20,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.011602379381656647,1.3761566715876567e-09,1.2009965475141713e-07,360.0,0.0,10.0,3.4012272953986926e-07,0.0,9.390246123075422e-09,3.4951297566299805e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #5,2026-04-17T14:32:21,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.12378722801804543,6.829027332939864e-08,5.524362971494395e-07,360.0,127.37446874518696,10.0,1.2553439661860467e-05,4.442225787215648e-06,3.485346212983134e-07,1.7344200070374413e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #5,2026-04-17T14:32:21,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.2856169156730175,1.753844542926306e-07,6.147985117842933e-07,360.0,192.6649151807404,10.0,2.8499163687229162e-05,1.525306777239166e-05,7.914922096663049e-07,4.4543723669287117e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #5,2026-04-17T14:32:21,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.0032772980630397797,2.695437844752161e-09,8.162575367072269e-07,360.0,0.0,10.0,6.661333143711222e-07,0.0,1.844753407769702e-08,6.845808484488023e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #6,2026-04-17T14:32:22,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.1235295981168747,7.79177289150523e-08,6.316361038979185e-07,360.0,197.00366781921323,10.0,1.256413385272026e-05,6.876394365917804e-06,3.4882996438278076e-07,1.9789358183020824e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #6,2026-04-17T14:32:23,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.28611743822693825,1.5241322711310434e-07,5.333378314090058e-07,360.0,118.15304439875584,10.0,2.8547002747654937e-05,9.369729724539866e-06,7.928139323161707e-07,3.870954640451099e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #6,2026-04-17T14:32:23,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.006401408463716507,1.2407437520875139e-09,1.9476532632309278e-07,360.0,0.0,10.0,3.066562116146084e-07,0.0,8.464915057022999e-09,3.1512112667165344e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Forward pass #7,2026-04-17T14:32:23,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.033826299011707306,1.99233480438581e-08,5.911855647748562e-07,360.0,176.65425682096196,10.0,3.331877291202546e-06,1.635834621538379e-06,9.237230858868968e-08,5.0600842213295995e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Backward pass #7,2026-04-17T14:32:23,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.0775713212788105,5.104090754156075e-08,6.607502322225848e-07,360.0,236.85773832759645,10.0,7.689511775970466e-06,5.060281836222202e-06,2.1345384625924907e-07,1.29632474584519e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Optimisation step #7,2026-04-17T14:32:23,energy-efficiency,bd31c54d-772c-47cf-a002-07a5eabbc4b7,0.0033386647701263428,1.2700257141287088e-09,3.810306468691323e-07,360.0,0.0,10.0,3.1389966607091183e-07,0.0,8.658423191970776e-09,3.2255808926287413e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
